date,ip 属地,评分,comments
2023-02-15,广西,5,去融水的必打卡景点之一，玻璃桥设计独特
2022-12-27,广西,5,玻璃桥是融水的标志性建筑和地标夜晚在灯光的照耀下非常漂亮
